start	end	locality_key	plot	life_condition	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	person_key	tree_number	sampled	photo_tree	tree_diameter_category	tree_heigth	tree_nodes	tree_health	tree_health/healthy	tree_health/ozone	tree_health/fungi	tree_health/drougth	tree_health/worm	tree_health/insect	tree_health/acid_rain	tree_health/other	ozone_damage_percentage	ozone_damage_percentage/less_10	ozone_damage_percentage/10-40	ozone_damage_percentage/50	ozone_damage_percentage/50-70	ozone_damage_percentage/70-100	ozone_damage_percentage/option_6	other_damages_percentage	other_damages_percentage/less_10	other_damages_percentage/10-40	other_damages_percentage/50	other_damages_percentage/50-70	other_damages_percentage/70-100	other_damages_percentage/option_6	photo_health	bud	photo_bud	branch_nodes	nodes_with_leaves	photo_branch	cones	cone_sex	photo_cones	tree_exposition	surronding_vegetation	surronding_vegetation/fir	surronding_vegetation/pine	surronding_vegetation/oak	surronding_vegetation/bush	surronding_vegetation/grass	surronding_vegetation/other	reforested	reforestation_code	__version__	_version_	_Se_colectaron_ac_culas	_id	_uuid	_submission_time	_validation_status	_index							
2020-12-15T10:50:25.146-06:00	2020-12-15T10:58:00.697-06:00	CX	1	alive						J	3	yes	1608051207686.jpg	6_cm	3.5	6	healthy	1	0	0	0	0	0	0	0															1608051308237.jpg	closed	1608051398227.jpg	5	5	1608051452409.jpg	no			exposed	fir bush grass other	1	0	0	1	1	1	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7083	8e6383a4-c57b-4578-9e11-77b6f2015002	2020-12-15T23:35:29		11							
2020-12-16T12:57:54.512-06:00	2021-01-25T19:40:19.733-06:00	CX	10	alive	19.2903456 -99.3064925 3508.403564453125 4.894	19.2903456	-99.3064925	3508.403564	4.894	B	51	yes	1608145192788.jpg	40_cm	25		drougth	0	0	0	1	0	0	0	0								less_10	1	0	0	0	0	0	1608145805958.jpg	closed	1608145338777.jpg	14	5	1608145585483.jpg	yes	female	1608145999815.jpg	exposed	fir bush grass other	1	0	0	1	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7743	b9ccd4fd-b3c8-4f8f-992f-245be180a56a	2020-12-17T22:34:46		12							
2020-12-20T11:20:45.728-06:00	2021-01-13T17:37:47.773-06:00	PN	34	alive	19.2952027 -99.3193666 3123.2001953125 4.605	19.2952027	-99.3193666	3123.200195	4.605	B	110	yes	1608485081658.jpg	0.5_cm	0.4	5	healthy	1	0	0	0	0	0	0	0															1608485153837.jpg	not_visible	1608485207374.jpg	3	2	1608485238818.jpg	no			cover	fir bush grass other	1	0	0	1	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9120	543fe42a-db85-438f-90e4-056ebc2fadc1	2020-12-21T23:40:37		13							
2020-12-16T17:36:12.081-06:00	2021-01-13T17:25:50.729-06:00	CX	14	alive	19.2923853 -99.3060304 3477.1082887277007 4.93	19.2923853	-99.3060304	3477.108289	4.93	E	54	yes	1608161846204.jpg	2_cm	1.4	9	ozone	0	1	0	0	0	0	0	0	less_10	1	0	0	0	0	0								1608161882279.jpg	closed	1608161901205.jpg	5	4	1608161922994.jpg	no			cover	fir	1	0	0	0	0	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7439	70882073-fa4b-4977-b202-47739e1e3584	2020-12-17T01:02:41		14							
2020-12-15T10:40:54.902-06:00	2020-12-15T10:49:24.929-06:00	CX	1	alive						J	2	yes	1608050541966.jpg	6_cm	3.5	6	healthy	1	0	0	0	0	0	0	0															1608050845965.jpg	closed	1608050875114.jpg	4	4	1608050925342.jpg	no			exposed	fir pine bush grass other	1	1	0	1	1	1	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7074	500063dc-0059-4d0f-9211-3a3d87eb1886	2020-12-15T23:34:10		15							
2020-12-15T10:44:13.089-06:00	2020-12-15T10:56:54.513-06:00	CX	3	alive	19.290324 -99.2992944 3505.047261693515 4.382	19.290324	-99.2992944	3505.047262	4.382	E	3	yes	1608050860134.jpg	10_cm	3.1	8	ozone acid_rain	0	1	0	0	0	0	1	0	less_10	1	0	0	0	0	0								1608051067114.jpg	closed	1608051126907.jpg	4	4	1608051251614.jpg	no			cover	pine grass	0	1	0	0	1	0	yes	NP	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7079	e3123cf6-7b89-48ab-b87b-34b0dd080ff5	2020-12-15T23:34:56		16							
2020-12-16T17:17:51.531-06:00	2021-01-13T17:25:32.209-06:00	CX	14	alive	19.2923695 -99.3060662 3472.898458495736 4.806	19.2923695	-99.3060662	3472.898458	4.806	E	53	yes	1608160725040.jpg	40_cm	15		other	0	0	0	0	0	0	0	1								less_10	1	0	0	0	0	0	1608160758713.jpg	closed	1608160776323.jpg	19	10	1608160801965.jpg	not_sure			cover	fir	1	0	0	0	0	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7436	86af27e7-55cc-4a84-81e3-3970d77dffed	2020-12-17T01:02:25		17							
2020-12-20T14:19:48.589-06:00	2020-12-20T14:22:10.064-06:00	PN	38	dead	19.2833639 -99.316122 3233.542236328125 4.502	19.2833639	-99.316122	3233.542236	4.502				1608495685772.jpg	2_cm	2.5	5																																	cover	fir bush grass other	1	0	0	1	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		8395	14aba454-b745-4ce4-b4e1-272521c60686	2020-12-20T22:38:22		18							
2020-12-16T13:14:40.660-06:00	2021-01-25T19:38:53.619-06:00	CX	12	alive	19.2912656 -99.3060372 3547.8 4.9	19.2912656	-99.3060372	3547.8	4.9	A	34	yes	1608146423089.jpg	40_cm	38		ozone	0	1	0	0	0	0	0	0	Oct-40	0	1	0	0	0	0								1608146980440.jpg	closed	1608147044939.jpg	11	11	1608147349473.jpg	yes		1608147523761.jpg	exposed	fir grass	1	0	0	0	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7443	434ea430-3610-4c2e-9a11-ad36feaab8d2	2020-12-17T01:03:07		19							
2020-12-19T12:13:11.406-06:00	2021-01-25T19:37:33.635-06:00	CX	29	alive	19.3023278 -99.29840734 3359.0 5.0	19.3023278	-99.29840734	3359	5	I	80	yes	1608401915059.jpg	40_cm	26		ozone drougth	0	1	0	1	0	0	0	0	less_10	1	0	0	0	0	0								1608402115913.jpg	closed	1608402164595.jpg	13	4	1608402297635.jpg	yes	male	1608402394829.jpg	exposed	fir bush grass other	1	0	0	1	1	1	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		8242	00c56390-6cd0-4dfb-8dc0-dd94c882a292	2020-12-20T00:00:13		20							
